home,away
Ath Bilbao,Vallecano
Vallecano,Celta
Osasuna,Vallecano
Vallecano,Valencia
Getafe,Vallecano
Vallecano,Las Palmas
Sociedad,Vallecano
Ath Madrid,Vallecano
Vallecano,Sevilla
Mallorca,Vallecano
Vallecano,Real Madrid
Girona,Vallecano
Vallecano,Cadiz
Alaves,Vallecano
Villarreal,Betis
Mallorca,Villarreal
Villarreal,Barcelona
Cadiz,Villarreal
Villarreal,Almeria
Vallecano,Villarreal
Villarreal,Girona
Getafe,Villarreal
Villarreal,Las Palmas
Villarreal,Alaves
Granada,Villarreal
Villarreal,Ath Bilbao
Ath Madrid,Villarreal
Villarreal,Osasuna
Sevilla,Villarreal
Villarreal,Sociedad
Real Madrid,Villarreal
Villarreal,Celta
Valencia,Villarreal
Las Palmas,Villarreal
Villarreal,Mallorca
Barcelona,Villarreal
Villarreal,Cadiz
Alaves,Villarreal
Villarreal,Getafe
Sociedad,Villarreal
Villarreal,Granada
Betis,Villarreal
